sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
"On Memorial Day, they visit the <CSI> national cemetery </CSI>, where rows of American flags flutter over the graves of fallen soldiers.","Placing flags on graves is a solemn American tradition, especially on Memorial Day, to honor those who served in the military.",Social Tradition,Rituals,Semi-visible
"When he won the award he just said it was <CSI> 'quite good' </CSI>,typical British understatement.",Using 'quite good' for something excellent exemplifies the British tendency toward understated praise.,Social Etiquette,Communication,Invisible
"At a family gathering, she noticed everyone <CSI> opening their gifts </CSI> together, which is typical of British Christmas traditions.","In British culture, opening gifts together during celebrations like Christmas is a common tradition, creating a shared and festive experience.",Social Tradition,Customs,Semi-visible
The manager praised her for her <CSI> entrepreneurial spirit </CSI> and willingness to take risks.,"The 'entrepreneurial spirit' is a celebrated American value, emphasizing innovation, initiative, and risk-taking.",Workplace Culture,Action,Invisible
We’re hosting a <CSI> tailgate </CSI> before the football game this Sunday.,"Tailgate parties are a classic American sports ritual, involving food and fun before games.",Social Tradition,Rituals,Semi-visible
Always check for <CSI> plus-one policies </CSI> before assuming you can bring a guest.,Plus-one policies determine guest allowances at Western social events.,Social Tradition,Customs,Semi-visible
They’re planning a <CSI> ski trip </CSI> to Colorado this winter.,Ski trips are a popular winter activity in mountainous regions of the US.,Social Tradition,Rituals,Semi-visible
The museum displays <CSI> folk art </CSI> created by self-taught American artists.,Folk art preserves American regional creativity and self-taught artistic traditions.,Cultural Reference,Art,Visible
He's the typical <CSI> tech bro </CSI> with his Patagonia vest and startup jargon.,"The tech bro stereotype describes young men in the technology industry, particularly associated with Silicon Valley culture.",Cultural Stereotype,Stereotype,Invisible
We conduct regular <CSI> performance reviews </CSI> to provide employee feedback.,Performance reviews assess and improve employee work in Western management practices.,Workplace Culture,Action,Invisible
She mentioned her <CSI> dietary restrictions </CSI> when accepting the invitation.,Communicating dietary needs allows Western hosts to accommodate guest requirements.,Social Etiquette,Appropriacy,Semi-visible
He <CSI> complimented the chef </CSI> after enjoying the excellent meal.,Complimenting meals shows appreciation for hosts' efforts in Western dining etiquette.,Social Tradition,Customs,Semi-visible
"When they met, they greeted each other with a <CSI> kiss on both cheeks </CSI>, a common European custom.","Greeting with a kiss on both cheeks, also known as cheek-kissing, is a warm and familiar custom in many European cultures.",Social Etiquette,Customs,Semi-visible
"He <CSI> proudly shared his promotion </CSI> at work during the meeting, as Americans often like to focus on <CSI> accomplishments </CSI> and success.","In American culture, it is acceptable and encouraged to celebrate and openly discuss personal achievements, reflecting values of individualism and self-confidence.",Social Tradition,Competitiveness,Invisible
Hosts should <CSI> make guests feel at home </CSI> by being welcoming and relaxed.,Making guests comfortable prioritizes casualness in Western hosting etiquette.,Social Etiquette,Customs,Semi-visible
She's portrayed as a <CSI> Southern belle </CSI> with exaggerated charm and manners.,Southern belle stereotypes romanticize and simplify Southern American women in media portrayals.,Cultural Stereotype,Stereotype,Invisible
She believes in <CSI> meritocracy </CSI> where talent and effort determine success.,Meritocracy represents American competitive values rewarding achievement and ability.,Cultural Value,Competitiveness,Invisible
"The <CSI> Hay Festival </CSI>, with its lineup of authors and thinkers, is a highlight of the British cultural calendar.","The Hay Festival is one of the UK’s premier literary and arts events, attracting global talent and audiences.",Cultural Reference,Institutions,Visible
The historic <CSI> Christmas market </CSI> in Nuremberg attracts visitors from around the world.,Traditional Christmas markets embody European holiday commerce and festive community gathering.,Social Tradition,Rituals,Semi-visible
Families share <CSI> bedtime stories </CSI> as nightly bonding rituals with children.,Bedtime stories are common in the West to create daily family connection through shared reading traditions.,Social Tradition,Rituals,Semi-visible
"She tossed the broken chair into the <CSI> dumpster </CSI> behind her apartment, a common sight in urban neighborhoods.",The term 'dumpster' reflects American innovation in waste management and urban infrastructure.,Cultural Reference,Environment,Invisible
She brought <CSI> flowers </CSI> to show gratitude for the dinner invitation.,Flowers serve as traditional British hostess gifts expressing thanks.,Social Tradition,Customs,Semi-visible
They're <CSI> tailgating </CSI> before the football game with grills and coolers in the parking lot.,Tailgating before football games with food and drinks is a distinctive American sports ritual.,Sports Tradition,Rituals,Semi-visible
She <CSI> patiently waited </CSI> in line at the amusement park and avoided <CSI> cutting ahead </CSI> of others.,"Waiting patiently in line and avoiding cutting ahead of others is expected in American culture, as skipping a queue is considered rude.",Social Etiquette,Appropriacy,Semi-visible
"She avoided eating with her <CSI> mouth open </CSI> or <CSI> licking her knife </CSI>, knowing these behaviors are considered inappropriate in the U.S.","Table manners such as avoiding eating with your mouth open and not licking your knife are strongly emphasized in American culture, as chewing with your mouth closed and avoiding licking utensils are considered proper etiquette.",Social Etiquette,Appropriacy,Semi-visible
He's a <CSI> player </CSI> who dates multiple women simultaneously.,Players manipulate romantic relationships without commitment in American dating stereotypes.,Cultural Stereotype,Stereotype,Invisible
The garden features native <CSI> wildflowers </CSI> supporting local ecosystems.,Native wildflowers represent European environmental heritage and ecological conservation values.,Cultural Reference,Environment,Visible
They're serving <CSI> coffee and donuts </CSI> at the morning meeting.,Coffee and donuts are standard American workplace meeting refreshments.,Social Tradition,Food and Drink,Visible
"He chose his <CSI> field of study </CSI> right from the <CSI> start </CSI>, a common practice in European education systems.","European students often specialize early, reflecting a focus on career preparation.",Cultural Reference,Structure,Invisible
